ID,complaint_text,category,priority
1,There's been no water supply in our colony since last night.,Water,High
2,Street lights on MG Road are not working for 3 days.,Electricity,Medium
3,Garbage has not been collected from Sector 7 for over a week.,Sanitation,High
4,Water pressure is too low during mornings in Gandhi Nagar.,Water,Medium
5,Broken electric pole leaning dangerously near bus stop.,Electricity,High
6,"Open manhole near school gate, very risky for children.",Sanitation,High
7,Sewage water is overflowing near the temple area.,Sanitation,High
8,Repeated power cuts every evening in Shivaji Colony.,Electricity,Medium
9,Tap water is muddy and smells bad.,Water,High
10,"No dustbins in the public park, litter everywhere.",Sanitation,Low
11,Street lights remain on during the daytime.,Electricity,Low
12,Water tank in our apartment has not been cleaned in months.,Water,Medium
13,Mosquito breeding in open drains near clinic.,Sanitation,High
14,Loudspeaker noise from nearby hall every night.,Noise Pollution,Medium
15,Transformer sparks near the children’s park.,Electricity,High
16,Roadside garbage burning causing air pollution.,Sanitation,Medium
17,Water leakage from overhead tank in Municipal School.,Water,Medium
18,Fluctuating voltage damaging home appliances.,Electricity,High
19,No water in public toilets near bus stand.,Water,Medium
20,Unauthorized loud DJ music past midnight in neighborhood.,Noise Pollution,High
21,Open dumping of construction waste in residential area.,Sanitation,Medium
22,"Water pipes leaking near main road, causing traffic issues.",Water,High
23,Street lights flickering continuously near police station.,Electricity,Medium
24,Foul smell from nearby drainage line in market area.,Sanitation,High
25,No water supply for the last 2 days in our street.,Water,High
26,Transformer oil leaking near electric pole.,Electricity,High
27,Sweeping not done regularly in our locality.,Sanitation,Medium
28,Construction noise early in the morning is disturbing us.,Noise Pollution,Medium
29,Drain near our house is always clogged and stinks.,Sanitation,High
30,Residents leaving water taps open in public washrooms.,Water,Low
31,Public tap broken and leaking continuously.,Water,Medium
32,Water pipeline laying work causing inconvenience.,Water,Medium
33,Water supply irregular during peak hours.,Water,High
34,Main pipe burst near community center.,Water,Low
35,Public tap broken and leaking continuously.,Water,High
36,Public tap broken and leaking continuously.,Water,High
37,Water supply irregular during peak hours.,Water,Low
38,Water supply irregular during peak hours.,Water,Medium
39,Water supply irregular during peak hours.,Water,Medium
40,Main pipe burst near community center.,Water,Medium
41,Public tap broken and leaking continuously.,Water,Low
42,Main pipe burst near community center.,Water,Medium
43,Water supply irregular during peak hours.,Water,High
44,Water pipeline laying work causing inconvenience.,Water,Medium
45,Water pipeline laying work causing inconvenience.,Water,Medium
46,Short circuit reported in street junction box.,Electricity,Low
47,Electric meter sparking in house lane.,Electricity,High
